epoch,train_loss,train_top1,train_top5,train_top10,val_loss,val_top1,val_top5,val_top10,lr
1,4.911761253181545,0.045606641128830526,0.16219827587577118,0.2596236430365464,4.38502112480059,0.09510416670204842,0.31296803649157695,0.4646989156122077,0.00019995065603657316
2,3.9366861803778286,0.15449513090753006,0.42641323434895484,0.5796340198352419,3.8749130425387865,0.1906178654873208,0.49139126767850905,0.6217051940421535,0.00019980267284282717
3,3.4630844806802683,0.24585288954877305,0.5631166188196204,0.7032531131273029,3.4986958765003777,0.27100313934561326,0.5814212332033131,0.6993521688735649,0.00019955619646030802
4,3.0707066683933655,0.3371783205832558,0.6647481641550174,0.7826552522593531,3.232111450744002,0.3384646120136731,0.6419449203634915,0.736803653305524,0.00019921147013144782
5,2.748842717861307,0.4143470625767763,0.7333461047589094,0.8314264049475221,3.0510389968140483,0.38867009135141767,0.6835259705373685,0.7707291670041542,0.0001987688340595138
6,2.5025512793968465,0.4746878991181823,0.7811729725750013,0.8646559707049666,2.883554174475474,0.42231877862590633,0.7021289957712774,0.784686073048474,0.0001982287250728689
7,2.3005896628588096,0.5258999840966586,0.8157136015508367,0.8875470945204812,2.7750756511949515,0.4406007422159796,0.7186101601548391,0.7942237445752914,0.00019759167619387476
8,2.129469462372791,0.5678304598249239,0.8416530970869394,0.9055559547468164,2.7924280199286056,0.4482434359315324,0.7226013132970627,0.7941481168955973,0.00019685831611286313
9,1.9866248328110268,0.605684067737097,0.8639790869307244,0.9187404214650735,2.6061318704526717,0.4894463468904365,0.7466937785279261,0.8112400116985792,0.00019602936856769434
10,1.8715592228133102,0.6362591794167441,0.8808688537827853,0.9288413953507083,2.6415251705744494,0.49086900688197516,0.7475057081000446,0.811132991150634,0.0001951056516295154
11,1.7647320152699262,0.6650383142219193,0.8948878512985405,0.9371443966339374,2.608048246331411,0.4887728315510162,0.7473359018155973,0.8117437215700541,0.0001940880768954226
12,1.6767607598469174,0.6861506226419032,0.908262292544047,0.946569683908046,2.6305530659139973,0.4910516551096145,0.7454409248208347,0.8084888703202548,0.0001929776485888252
13,1.5935319675796333,0.7102638091164074,0.9163346105608446,0.9515094189808286,2.6031913332743186,0.5018478885088882,0.7487143269956928,0.8124172377259764,0.00019177546256839815
14,1.5226536038278162,0.7263445881591446,0.9256625160403635,0.9567736270783962,2.5748488837725496,0.5138912674498884,0.7559603313877158,0.8154452059366931,0.000190482705246602
15,1.4571256933541132,0.7440764687527185,0.9333955938788666,0.962125638572649,2.5684466590620065,0.5112785386712584,0.7549343607197069,0.8193421804741637,0.00018910065241883685
16,1.4001661349987162,0.7618143359820048,0.9393015645016198,0.9649812420209248,2.4983977422322314,0.5306492578493406,0.7673487442813508,0.8221247147207391,0.00018763066800438642
17,1.3410213429352333,0.7783608717479925,0.9465573116280567,0.9706206098370168,2.4954262432986742,0.5480436641876012,0.773203482366588,0.8259460615785155,0.00018607420270039444
18,1.2900145070306186,0.79054717442085,0.9526352970079444,0.9736095147571344,2.4964523348089767,0.5421004564794776,0.7707420097638483,0.8235159818440267,0.0001844327925502016
19,1.2452248074542518,0.8038657407651002,0.9569352650094306,0.9766447159065598,2.464754726788769,0.5440967466733228,0.7702511418355654,0.8236986300716661,0.00018270805742745628
20,1.201650674589749,0.8180028735906228,0.9623184068449613,0.9800135696071318,2.4130893831383693,0.5588398975868748,0.7765211193528894,0.8291124432054284,0.00018090169943749484
21,1.1530665249660097,0.8309622446695963,0.9681573275862069,0.983117816091954,2.551470723870682,0.5443036531748837,0.7617080481085059,0.8184103884109079,0.00017901550123756912
22,1.1182467572990504,0.8395282567232505,0.9709646392142636,0.9849628832148409,2.476959411412069,0.5502654109915642,0.7641381278429946,0.8188070777344377,0.00017705132427757903
23,1.0815259399085209,0.8526568486772734,0.9747437740194387,0.9875462963663298,2.5195589261512232,0.5523872718419114,0.7612799659167251,0.8149857308766614,0.00017501110696304607
24,1.048742336240308,0.8600231481694627,0.9776608397220743,0.9892600574712643,2.5716902001263344,0.5590667806259574,0.7659574771580631,0.8190211188303281,0.00017289686274214126
25,1.012717984188562,0.8704936941464742,0.9812962963663299,0.9907790549870195,2.53231875537193,0.5606278540336922,0.7723473179830264,0.820519406501561,0.00017071067811865484
26,0.986875445404272,0.8789451629265972,0.9842672413793103,0.9920079022988506,2.53056497769813,0.5646889275067473,0.7711829338988213,0.8242023407596432,0.00016845471059286895
27,0.9569077099876843,0.8885500479018551,0.9858477011494253,0.993121408045977,2.6346758261118848,0.5459346460969481,0.7641695207112456,0.8167422944552278,0.00016613118653236526
28,0.930112245576135,0.8956980364076023,0.9885340837226517,0.9950431034482758,2.5242908458187157,0.5593564502180439,0.7728067922265562,0.8239754569040586,0.00016374239897486904
29,0.9045766041196626,0.9034905811835979,0.9897222222953007,0.9957642879979364,2.5526967440565973,0.5610687789851672,0.7728695779630582,0.8235159818440267,0.00016129070536529774
30,0.8846620152736532,0.9117464879463459,0.9910843710789735,0.9960771871709275,2.5352456896272426,0.5632534247555144,0.7703895552517617,0.8195562215700541,0.00015877852522924743
31,0.8623616921490637,0.9179557790701417,0.992798132183908,0.9969288793103448,2.606474706571396,0.5602882422812997,0.7656364155142275,0.81741581061115,0.00015620833778521318
32,0.8420324381740614,0.9238589559478322,0.994073275862069,0.9975215517241379,2.607723438576476,0.5579965751465052,0.7694891552402549,0.8128767127860083,0.00015358267949789977
33,0.8284722706367229,0.9285360792587544,0.9948814655172413,0.9980962643678161,2.636184627062654,0.5511472600780122,0.7631307081000446,0.8113784251147753,0.00015090414157503725
34,0.8120830331725636,0.9328983078057739,0.9954202586206896,0.9984913793103448,2.748684229916089,0.531870719504683,0.7487143269956928,0.8024643267670722,0.00014817536741017163
35,0.7951131412352639,0.9397713122696713,0.9964619252873563,0.9985991379310345,2.6497148357025564,0.5455379567734183,0.7655293949662823,0.8161629569040586,0.0001453990499739548
36,0.7795159560510482,0.9446052841756536,0.9970110952169046,0.9989942528735632,2.653129273897981,0.5569263696670532,0.7647360163192226,0.8084574774520038,0.0001425779291565074
37,0.7639334025054142,0.9492540708903608,0.9978448275862069,0.9991379310344828,2.688186227458797,0.5436872145900987,0.7619534820726473,0.8128324771580631,0.00013971478906347817
38,0.7522343257377888,0.9538234355805935,0.9983117816091954,0.9994971264367816,2.554610543055077,0.5781606737881491,0.7694449204288117,0.8137328771695699,0.00013681245526846793
39,0.7411707176559272,0.9566071999484095,0.9983477011494253,0.9994612068965517,2.6867825103132694,0.5550442354319847,0.7655165530230901,0.808186358784976,0.00013387379202452928
40,0.7291342685962545,0.9597142401782945,0.9988968710789735,0.999694683908046,2.6380608571718818,0.5590225458145142,0.7612799659167251,0.8066381281369353,0.00013090169943749487
41,0.7178766180729044,0.9634063697409356,0.9988685344827586,0.9996767241379311,2.6414100829869103,0.5587899546100669,0.760272546173775,0.8065938933254921,0.00012789911060392308
42,0.7102235846135808,0.9652893518579417,0.9991379310344828,0.9997665229885058,2.7128294690014565,0.5412129000441669,0.753989725896757,0.8026655251032686,0.0001248689887164856
43,0.702518407640786,0.9668338920878268,0.9990481321839081,0.9997665229885058,2.668792349018463,0.557323059807085,0.7538513132970627,0.8030622152433003,0.00012181432413965439
44,0.6888709498547959,0.9714136334671372,0.9994971264367816,0.9999102011494253,2.661607559413126,0.5563912669273272,0.7549657535879579,0.8086715185478942,0.0001187381314585726
45,0.6854472907110193,0.9724656769599037,0.9992995689655172,0.9998024425287356,2.6248062996015156,0.5684845888451354,0.7651769412706976,0.8098487445752914,0.00011564344650402321
46,0.673770315756743,0.9749129948944881,0.9997844827586206,0.9999640804597701,2.610909481571145,0.568239155697496,0.7600271122096336,0.8087029114161453,0.00011253332335643057
47,0.6657305832566887,0.9779661558140283,0.9997126436781609,0.9999281609195402,2.6074772697605497,0.5639711757228799,0.7619534820726473,0.8104466330515195,0.00010941083133185154
48,0.6615926250644114,0.9781920498815077,0.9995869252873564,0.9998383620689655,2.6456140916641444,0.5602753995216057,0.7575656396068938,0.802892408958853,0.00010627905195293146
49,0.6536536093415886,0.9802650063887409,0.9998204022988506,0.9999640804597701,2.683486869890396,0.5466081622528703,0.7583904111222045,0.8058133566216247,0.00010314107590781295
