epoch,train_loss,train_top1,train_top5,train_top10,val_loss,val_top1,val_top5,val_top10,lr
1,4.869912493914023,0.053033604738356055,0.18117496809740177,0.2806960408714996,4.300657350723058,0.12713470320179038,0.3611272830669194,0.4985302515225868,0.00019995065603657316
2,3.8955595345332705,0.1675423052461668,0.44663872924344294,0.5936067209846672,3.7040113520948856,0.22021832204844854,0.5181464046648104,0.6507648401064415,0.00019980267284282717
3,3.4121723405246076,0.26453105046831327,0.580949872389607,0.7153081099192301,3.4004625000365793,0.29236301371496015,0.5960202625353043,0.700938926984186,0.00019955619646030802
4,3.0176456292470295,0.3543422733230152,0.6781764847108688,0.7914319923554344,3.1637878026047797,0.3522574203471615,0.6378153538050717,0.7395861875520994,0.00019921147013144782
5,2.716089482691096,0.42753791507633254,0.7421360154261534,0.837073355707629,3.015737690337717,0.37723744323808855,0.6695376716247977,0.7629295097638483,0.0001987688340595138
6,2.492212453929857,0.4842899904853996,0.7837895115216573,0.8652155173235926,2.9140330667365086,0.40495005699053205,0.6904066784741127,0.7736943494783689,0.0001982287250728689
7,2.315402606163902,0.5253971105334403,0.8148543263303822,0.8876396871161187,2.821613207255324,0.42773259135141767,0.7012599886280216,0.7845162675805288,0.00019759167619387476
8,2.166985247875082,0.5624652777595082,0.8393893678983052,0.9021172574196739,2.7712330622215795,0.44659960065802484,0.7114711763107613,0.7871033108397706,0.00019685831611286313
9,2.0428125008769418,0.5959630427689387,0.8578727650916439,0.9150435025664582,2.644252169622134,0.47226598164806627,0.7324343609483275,0.8055550798977891,0.00019602936856769434
10,1.9359640305069672,0.6246731322387169,0.8739391762634804,0.9237408206380647,2.729179023063346,0.454991438617445,0.720202625614323,0.7985045664930996,0.0001951056516295154
11,1.8460125657333726,0.6490692848446725,0.8858740421547286,0.9326640326401283,2.622280865499418,0.48051940659954123,0.7407634135794966,0.8088541667755336,0.0001940880768954226
12,1.776558958524945,0.6654893040657044,0.8961346583804864,0.9393658206380647,2.6227479634219653,0.4929651830294361,0.738837043716483,0.8058133566216247,0.0001929776485888252
13,1.6990045358394754,0.6865209930244534,0.9056485473424539,0.945413473830826,2.606448627498052,0.49828481755844534,0.7355507995984326,0.8036415527944696,0.00019177546256839815
14,1.6344420471410641,0.7042333174025875,0.9135935505231222,0.9501133461108153,2.638830939384356,0.4961757994677922,0.7393593036965148,0.8062100459451544,0.000190482705246602
15,1.5748371579181188,0.7220965038770917,0.9229222541567923,0.9546004948944881,2.653681359878958,0.4766980597417649,0.7342793949662823,0.8021432651232366,0.00018910065241883685
16,1.5208170159109708,0.7374305556560384,0.9287931035304892,0.9603041188470248,2.504441313547631,0.5195191208630392,0.7590325344098757,0.817982306219127,0.00018763066800438642
17,1.4797472901727962,0.7454641603875434,0.9335731961261267,0.9631549329593264,2.554197526957891,0.5027040528924498,0.7473986875520994,0.8184103884109079,0.00018607420270039444
18,1.4293801351525317,0.7605787037432878,0.9411059227483026,0.9666315454176102,2.478068364809637,0.5306492578493406,0.7659574771580631,0.8251212900632048,0.0001844327925502016
19,1.3921442004455917,0.7705946679773001,0.9442612547984068,0.9694919380648382,2.531382240661203,0.5331549660800254,0.7582077628945652,0.8176926374435425,0.00018270805742745628
20,1.352349214170171,0.7818534482484576,0.9492464879463459,0.9720829342973644,2.522019869660678,0.531933504424683,0.7654537672865881,0.8207962333339535,0.00018090169943749484
21,1.3140817146191652,0.7928089080185726,0.9538489782947234,0.974320322480695,2.546252348651625,0.5297488586543357,0.7576412672865881,0.8186558223750493,0.00017901550123756912
22,1.278221826443727,0.8029505907804116,0.9572896712127773,0.977132423444726,2.478550372058398,0.5337400117965594,0.7682805371611086,0.8276897832138898,0.00017705132427757903
